1_usercol	2_usercol	3_usercol	4_pct_at	5_pct_gc	6_num_A	7_num_C	8_num_G	9_num_T	10_num_N	11_num_oth	12_seq_len
NC_065570.1	0	50000	0.637620	0.362380	18167	12594	5525	13714	0	0	50000
NC_065570.1	50000	100000	0.651640	0.348360	17251	10446	6972	15331	0	0	50000
NC_065570.1	100000	150000	0.648260	0.351740	17618	11204	6383	14795	0	0	50000
NC_065570.1	150000	200000	0.656340	0.343660	16874	8900	8283	15943	0	0	50000
NC_065570.1	200000	250000	0.645960	0.354040	15582	8679	9023	16716	0	0	50000
NC_065570.1	250000	300000	0.631000	0.369000	14318	8988	9462	17232	0	0	50000
NC_065570.1	300000	350000	0.641040	0.358960	16923	8636	9312	15129	0	0	50000
NC_065570.1	350000	400000	0.689580	0.310420	16976	8248	7273	17503	0	0	50000
NC_065570.1	400000	450000	0.672440	0.327560	16022	7498	8880	17600	0	0	50000
NC_065570.1	450000	500000	0.632880	0.367120	16382	9477	8879	15262	0	0	50000
NC_065570.1	500000	550000	0.657140	0.342860	15539	8348	8795	17318	0	0	50000
NC_065570.1	550000	600000	0.685080	0.314920	16687	7914	7832	17567	0	0	50000
NC_065570.1	600000	650000	0.672640	0.327360	16556	8494	7874	17076	0	0	50000
NC_065570.1	650000	700000	0.672960	0.327040	16717	7477	8875	16931	0	0	50000
NC_065570.1	700000	750000	0.683300	0.316700	17493	8121	7714	16672	0	0	50000
NC_065570.1	750000	800000	0.662340	0.337660	17239	8402	8481	15878	0	0	50000
NC_065570.1	800000	850000	0.672600	0.327400	17508	8546	7824	16122	0	0	50000
NC_065570.1	850000	900000	0.674420	0.325580	16624	8051	8228	17097	0	0	50000
NC_065570.1	900000	950000	0.674680	0.325320	16929	8084	8182	16805	0	0	50000
NC_065570.1	950000	1000000	0.624560	0.375440	15117	9812	8960	16111	0	0	50000
NC_065570.1	1000000	1050000	0.677420	0.322580	16144	7519	8610	17727	0	0	50000
NC_065570.1	1050000	1100000	0.680280	0.319720	17303	8138	7848	16711	0	0	50000
NC_065570.1	1100000	1150000	0.664600	0.335400	17150	8326	8444	16080	0	0	50000
NC_065570.1	1150000	1200000	0.662220	0.337780	15327	8092	8797	17784	0	0	50000
NC_065570.1	1200000	1250000	0.672500	0.327500	17068	8016	8359	16557	0	0	50000
NC_065570.1	1250000	1300000	0.682860	0.317140	17498	7922	7935	16645	0	0	50000
NC_065570.1	1300000	1350000	0.674480	0.325520	17096	8020	8256	16628	0	0	50000
NC_065570.1	1350000	1400000	0.669000	0.331000	16797	8609	7941	16653	0	0	50000
NC_065570.1	1400000	1450000	0.679500	0.320500	17426	7806	8219	16549	0	0	50000
NC_065570.1	1450000	1500000	0.674980	0.325020	17292	8130	8121	16457	0	0	50000
NC_065570.1	1500000	1550000	0.632020	0.367980	16529	9641	8758	15072	0	0	50000
NC_065570.1	1550000	1600000	0.672560	0.327440	17015	8565	7807	16613	0	0	50000
NC_065570.1	1600000	1650000	0.694460	0.305540	17790	7481	7796	16933	0	0	50000
NC_065570.1	1650000	1700000	0.696440	0.303560	17596	7579	7599	17226	0	0	50000
NC_065570.1	1700000	1750000	0.682580	0.317420	17069	7836	8035	17060	0	0	50000
NC_065570.1	1750000	1800000	0.680820	0.319180	17399	8042	7917	16642	0	0	50000
NC_065570.1	1800000	1850000	0.686080	0.313920	17015	7483	8213	17289	0	0	50000
NC_065570.1	1850000	1900000	0.672300	0.327700	16872	8571	7814	16743	0	0	50000
NC_065570.1	1900000	1950000	0.681240	0.318760	17052	8411	7527	17010	0	0	50000
NC_065570.1	1950000	2000000	0.670620	0.329380	16388	9276	7193	17143	0	0	50000
NC_065570.1	2000000	2050000	0.704600	0.295400	17757	7908	6862	17473	0	0	50000
NC_065570.1	2050000	2100000	0.693660	0.306340	17965	7570	7747	16718	0	0	50000
NC_065570.1	2100000	2150000	0.646100	0.353900	16546	8884	8811	15759	0	0	50000
NC_065570.1	2150000	2200000	0.685000	0.315000	17682	7837	7913	16568	0	0	50000
NC_065570.1	2200000	2250000	0.659300	0.340700	15549	8238	8797	17416	0	0	50000
NC_065570.1	2250000	2300000	0.686120	0.313880	17598	8130	7564	16708	0	0	50000
NC_065570.1	2300000	2350000	0.678980	0.321020	17208	8364	7687	16741	0	0	50000
NC_065570.1	2350000	2400000	0.679840	0.320160	17650	8261	7747	16342	0	0	50000
NC_065570.1	2400000	2450000	0.648760	0.351240	17203	8661	8901	15235	0	0	50000
NC_065570.1	2450000	2500000	0.678180	0.321820	16917	7952	8139	16992	0	0	50000
NC_065570.1	2500000	2550000	0.686960	0.313040	16798	7682	7970	17550	0	0	50000
NC_065570.1	2550000	2600000	0.659020	0.340980	16916	8751	8298	16035	0	0	50000
NC_065570.1	2600000	2650000	0.639960	0.360040	15587	8678	9324	16411	0	0	50000
NC_065570.1	2650000	2700000	0.692840	0.307160	17126	7540	7818	17516	0	0	50000
NC_065570.1	2700000	2750000	0.682560	0.317440	17530	7958	7914	16598	0	0	50000
NC_065570.1	2750000	2800000	0.672960	0.327040	17599	8249	8103	16049	0	0	50000
NC_065570.1	2800000	2850000	0.625700	0.374300	15900	8620	10095	15385	0	0	50000
NC_065570.1	2850000	2900000	0.666980	0.333020	16649	8240	8411	16700	0	0	50000
NC_065570.1	2900000	2950000	0.691100	0.308900	17445	7638	7807	17110	0	0	50000
NC_065570.1	2950000	3000000	0.683780	0.316220	17843	8067	7744	16346	0	0	50000
NC_065570.1	3000000	3050000	0.686740	0.313260	17174	7732	7931	17163	0	0	50000
NC_065570.1	3050000	3100000	0.676560	0.323440	17081	8241	7931	16747	0	0	50000
NC_065570.1	3100000	3150000	0.655320	0.344680	16203	8675	8559	16563	0	0	50000
